cod_usuario,cod_produto,data_venda,quantidade,valor_compra
1756,10,06/06/2021,12,8398.8
1756,15,26/02/2021,15,74.85
1756,15,08/10/2020,5,24.95
1756,1,16/06/2021,1,4590.9
1756,17,18/09/2020,2,1168.2
1756,21,11/09/2020,20,119982
1756,16,07/03/2020,1,5
1756,13,30/08/2019,17,168.3
1769,4,13/04/2021,8,471.2
1769,21,07/07/2021,13,77988.3
1769,9,26/07/2021,1,389.1
1769,15,18/06/2021,15,74.85
1769,4,17/04/2021,10,589
1769,6,17/04/2021,10,8999
1787,1,26/08/2020,8,36727.2
1787,21,22/09/2019,9,53991.9
1787,16,16/02/2020,13,65
1787,7,30/11/2019,3,3901.47
1787,5,30/10/2019,9,3933
1787,5,30/08/2019,4,1748
1787,17,23/11/2019,17,9929.7
1787,10,06/03/2021,16,11198.4
1796,3,23/04/2019,19,38940.5
1796,5,26/09/2019,20,8740
1796,17,10/08/2018,12,7009.2
1878,1,09/11/2018,5,22954.5
1878,5,10/01/2021,19,8303
1878,1,21/06/2020,12,55090.8
1878,17,29/06/2020,18,10513.8
1947,14,28/10/2018,20,2779.8
1947,8,25/05/2019,11,2415.27
1947,16,23/10/2019,3,15
1947,15,28/07/2021,10,49.9
1947,1,11/12/2019,12,55090.8
1947,14,19/03/2020,14,1945.86
1974,15,30/03/2021,13,64.87
1974,10,25/10/2020,17,11898.3
1974,1,25/12/2020,17,78045.3
1974,3,14/03/2021,20,40990
1974,6,15/02/2021,10,8999
2009,9,13/06/2021,8,3112.8
2009,19,27/06/2021,2,4999.8
2009,15,21/05/2020,13,64.87
2009,3,23/04/2019,6,12297
2009,15,11/04/2019,20,99.8
2009,6,13/05/2021,4,3599.6
2034,21,30/07/2021,15,89986.5
2034,7,20/07/2021,15,19507.35
2034,21,16/07/2021,14,83987.4
2034,2,26/07/2021,20,26915.6
2034,15,15/07/2021,20,99.8
2034,14,19/07/2021,9,1250.91
2155,16,26/05/2020,17,85
2155,3,03/03/2020,6,12297
2155,20,13/01/2021,8,1039.2
2155,11,23/05/2020,8,399.2
2183,17,28/10/2019,7,4088.7
2183,20,24/09/2020,18,2338.2
2183,16,23/07/2020,7,35
2183,8,04/06/2021,3,658.71
2183,13,05/01/2020,4,39.6
2183,20,13/05/2020,7,909.3
2186,15,13/02/2021,16,79.84
2186,13,29/05/2021,3,29.7
2186,10,18/05/2021,12,8398.8
2186,20,04/11/2020,2,259.8
2186,1,19/04/2021,8,36727.2
2186,5,11/07/2021,12,5244
2186,12,22/03/2021,8,620
2216,8,07/02/2021,11,2415.27
2216,12,14/12/2020,18,1395
2216,15,23/08/2018,16,79.84
2216,1,21/02/2019,2,9181.8
2216,9,01/06/2018,10,3891
2216,16,16/06/2020,3,15
2216,1,28/02/2021,15,68863.5
2274,4,11/11/2020,7,412.3
2274,9,22/05/2021,4,1556.4
2340,2,09/02/2020,10,13457.8
2340,21,02/06/2020,17,101984.7
2340,5,27/04/2020,11,4807
2340,18,16/01/2021,10,79
2340,20,11/04/2020,13,1688.7
2340,2,03/07/2021,19,25569.82
2340,7,16/03/2020,9,11704.41
2340,17,12/01/2021,10,5841
2340,15,13/12/2020,13,64.87
2350,11,24/05/2021,12,598.8
2350,8,13/05/2021,1,219.57
2350,5,03/05/2021,16,6992
2350,7,09/01/2021,18,23408.82
2350,15,30/10/2020,6,29.94
2350,17,08/11/2020,1,584.1
2392,2,25/12/2019,2,2691.56
2392,19,14/09/2019,4,9999.6
2392,14,25/06/2021,7,972.93
2392,19,25/07/2019,8,19999.2
2392,10,16/04/2021,11,7698.9
2392,15,07/06/2020,10,49.9
2438,1,29/05/2021,1,4590.9
2438,15,07/11/2020,16,79.84
2438,18,29/05/2020,12,94.8
2438,15,10/01/2021,10,49.9
2438,1,08/07/2020,18,82636.2
2438,14,25/02/2021,19,2640.81
2438,15,21/06/2020,8,39.92
2438,10,25/06/2020,7,4899.3
2441,18,09/06/2021,11,86.9
2441,1,25/01/2021,8,36727.2
2441,17,19/12/2020,6,3504.6
2441,15,11/05/2021,1,4.99
2441,12,10/04/2021,7,542.5
2492,6,24/05/2021,5,4499.5
2492,6,13/07/2021,11,9898.9
2492,6,28/07/2021,4,3599.6
2551,17,07/05/2021,10,5841
2551,13,16/08/2020,6,59.4
2551,16,22/07/2021,7,35
2551,6,17/08/2020,4,3599.6
2551,21,30/11/2020,7,41993.7
2551,10,08/06/2019,7,4899.3
2551,3,24/10/2020,18,36891
2551,2,29/08/2020,12,16149.36
2551,1,09/03/2021,17,78045.3
2597,14,18/04/2020,11,1528.89
2597,16,03/05/2020,16,80
2597,12,19/12/2020,8,620
2597,6,12/02/2021,18,16198.2
2597,5,11/04/2021,10,4370
2597,19,06/12/2020,13,32498.7
2646,19,12/10/2019,17,42498.3
2646,6,14/04/2020,1,899.9
2646,9,11/07/2021,15,5836.5
2646,5,28/04/2020,17,7429
2646,11,07/06/2020,2,99.8
2646,1,27/06/2021,15,68863.5
2646,17,30/12/2020,17,9929.7
2647,17,28/09/2020,19,11097.9
2647,10,25/02/2021,19,13298.1
2647,8,28/10/2020,14,3073.98
2647,6,11/10/2020,5,4499.5
2669,15,06/01/2021,20,99.8
2669,19,07/07/2020,1,2499.9
2669,17,05/09/2018,15,8761.5
2669,19,05/11/2020,4,9999.6
2669,1,08/02/2020,3,13772.7
2669,9,28/02/2018,5,1945.5
2669,16,15/07/2019,8,40
2811,7,26/04/2021,11,14305.39
2811,2,29/09/2020,10,13457.8
2811,1,27/02/2021,4,18363.6
2811,17,20/03/2021,7,4088.7
2811,17,27/11/2020,16,9345.6
2811,1,16/07/2021,8,36727.2
2811,11,25/03/2021,3,149.7
2811,6,26/12/2020,7,6299.3
2811,21,13/11/2020,9,53991.9
2811,1,14/04/2021,4,18363.6
2811,9,30/06/2021,16,6225.6
2811,12,11/03/2021,19,1472.5
2811,5,05/01/2021,3,1311
2843,10,07/04/2021,6,4199.4
2843,6,23/04/2020,5,4499.5
2843,12,12/10/2019,15,1162.5
2843,17,05/09/2019,4,2336.4
2843,21,15/11/2019,16,95985.6
2843,18,01/06/2020,19,150.1
2843,11,22/05/2021,15,748.5
2843,20,17/11/2019,8,1039.2
2843,8,09/10/2020,7,1536.99
2843,2,13/02/2020,19,25569.82
2850,12,19/10/2020,1,77.5
2850,21,17/07/2021,11,65990.1
2850,2,28/02/2021,15,20186.7
2850,10,08/07/2021,18,12598.2
2850,5,01/01/2021,19,8303
2856,2,13/12/2020,4,5383.12
2856,12,01/12/2020,16,1240
2856,19,28/05/2020,16,39998.4
2856,2,03/10/2020,16,21532.48
2856,12,03/07/2021,10,775
2856,7,03/07/2020,1,1300.49
2856,8,10/07/2021,8,1756.56
2903,11,12/06/2021,6,299.4
2903,18,05/12/2019,6,47.4
2903,10,21/07/2020,12,8398.8
2903,8,13/04/2021,1,219.57
2908,15,25/09/2020,11,54.89
2908,5,12/11/2020,13,5681
2908,14,31/05/2021,7,972.93
2910,10,12/04/2021,11,7698.9
2910,1,01/01/2021,11,50499.9
2910,15,15/02/2021,6,29.94
2910,4,26/04/2021,12,706.8
2920,4,06/03/2021,1,58.9
2920,1,21/06/2020,13,59681.7
2920,6,28/10/2020,17,15298.3
2920,16,27/10/2020,12,60
2920,15,21/04/2020,9,44.91
2920,12,17/10/2020,7,542.5
2981,3,23/06/2020,16,32792
2981,11,09/04/2021,3,149.7
2981,21,14/09/2020,5,29995.5
2981,18,22/12/2018,2,15.8
2981,4,14/04/2019,9,530.1
2981,6,10/06/2021,4,3599.6
2981,2,18/07/2021,10,13457.8
2981,19,17/03/2019,6,14999.4
2981,3,19/08/2020,15,30742.5
3040,6,09/05/2021,16,14398.4
3040,11,18/05/2021,6,299.4
3040,6,15/07/2021,6,5399.4
3040,5,13/06/2021,4,1748
3040,12,04/06/2021,6,465
3040,2,03/07/2021,18,24224.04
3040,5,30/06/2021,18,7866
3090,15,19/11/2018,10,49.9
3090,19,26/08/2019,15,37498.5
3090,21,11/06/2019,1,5999.1
3090,2,01/01/2019,12,16149.36
3090,2,31/01/2019,8,10766.24
3090,5,06/05/2020,19,8303
3090,17,21/02/2020,10,5841
3090,6,21/01/2020,8,7199.2
3090,9,05/05/2021,10,3891
3248,4,27/12/2018,20,1178
3248,21,09/09/2020,18,107983.8
3248,5,24/11/2020,14,6118
3248,6,22/12/2018,19,17098.1
3248,20,14/07/2019,1,129.9
3358,21,20/11/2020,11,65990.1
3358,1,05/04/2020,9,41318.1
3358,6,24/08/2020,1,899.9
3358,16,19/01/2021,14,70
3358,5,14/04/2021,2,874
3358,21,25/11/2020,4,23996.4
3358,8,19/07/2019,17,3732.69
3400,13,05/05/2021,9,89.1
3400,12,11/03/2020,3,232.5
3400,12,18/08/2019,1,77.5
3400,8,09/07/2021,17,3732.69
3400,17,25/12/2020,5,2920.5
3403,3,21/10/2019,2,4099
3403,15,22/09/2020,7,34.93
3403,21,30/06/2020,8,47992.8
3403,2,20/08/2019,2,2691.56
3403,10,31/03/2020,17,11898.3
3403,21,20/11/2019,7,41993.7
3403,8,15/01/2021,8,1756.56
3403,7,06/05/2021,14,18206.86
3403,17,26/10/2019,13,7593.3
3403,16,23/09/2019,16,80
199823,10,19/10/2020,4,2799.6
188226,10,28/03/2021,2,1399.8
439101,2,13/09/2020,20,26915.6
239171,14,21/06/2021,1,138.99
488268,10,10/07/2021,6,4199.4
433557,5,17/10/2019,19,8303
371952,14,08/05/2020,2,277.98
460097,3,01/12/2020,14,28693
421583,1,02/06/2021,17,78045.3
40160,4,25/07/2021,19,1119.1
377969,11,27/05/2021,5,249.5
326867,12,29/04/2021,11,852.5
98549,4,28/01/2020,19,1119.1
391985,4,13/05/2021,9,530.1
95295,16,26/01/2020,4,20
411356,6,30/04/2021,14,12598.6
451393,18,28/01/2021,6,47.4
227855,7,17/04/2020,13,16906.37
411625,20,20/06/2021,19,2468.1
330178,13,05/12/2020,10,99
297249,8,20/06/2021,14,3073.98
168435,7,31/05/2020,12,15605.88
13685,20,03/07/2020,15,1948.5
425351,3,30/05/2021,16,32792
395497,20,24/08/2020,15,1948.5
229553,20,08/05/2021,15,1948.5
13713,17,16/01/2021,6,3504.6
473674,6,12/07/2021,5,4499.5
224498,20,28/02/2021,16,2078.4
401380,19,04/04/2021,2,4999.8
428714,4,13/12/2019,3,176.7
136868,19,01/07/2021,3,7499.7
65884,19,01/09/2020,6,14999.4
350248,6,23/05/2020,15,13498.5
330770,15,26/05/2021,18,89.82
299248,20,27/02/2021,4,519.6
109141,3,20/07/2020,7,14346.5
82446,8,12/05/2021,14,3073.98
378847,3,07/05/2021,2,4099
354573,2,09/04/2020,8,10766.24
301902,14,08/07/2021,10,1389.9
16733,21,24/02/2019,1,5999.1
264200,19,19/11/2019,5,12499.5
320497,1,06/04/2021,15,68863.5
331623,19,19/05/2019,14,34998.6
159143,5,10/03/2020,13,5681
108220,7,18/07/2021,12,15605.88
121105,18,04/10/2019,18,142.2
288752,21,29/01/2021,16,95985.6
416549,5,21/05/2021,14,6118
296873,11,08/04/2019,3,149.7
366719,17,26/06/2021,18,10513.8
67060,16,15/07/2021,8,40
171654,20,14/07/2021,4,519.6
84578,7,14/06/2021,18,23408.82
141767,18,27/01/2020,19,150.1
85154,11,11/12/2020,16,798.4
63090,17,11/10/2020,3,1752.3
498166,17,14/07/2021,19,11097.9
408935,18,14/01/2021,14,110.6
208711,18,03/02/2021,2,15.8
321550,12,11/04/2021,18,1395
289725,10,28/03/2021,3,2099.7
143118,21,12/05/2020,17,101984.7
388157,15,02/09/2020,9,44.91
389782,11,17/06/2021,9,449.1
399423,17,13/06/2021,18,10513.8
262545,4,25/07/2021,6,353.4
323330,13,30/01/2019,2,19.8
11654,6,10/01/2021,9,8099.1
195235,7,23/11/2020,6,7802.94
35186,20,11/07/2021,7,909.3
298404,19,19/02/2020,20,49998
55277,13,18/10/2020,8,79.2
366393,12,18/05/2021,7,542.5
367315,21,11/08/2020,5,29995.5
69458,4,08/04/2021,13,765.7
139118,16,10/07/2021,2,10
478496,5,28/04/2021,2,874
304170,13,20/06/2020,2,19.8
144396,20,21/01/2021,20,2598
96673,11,18/07/2021,11,548.9
59200,12,26/07/2021,15,1162.5
402298,20,17/07/2021,8,1039.2
360354,21,22/04/2020,3,17997.3
162120,10,28/08/2020,12,8398.8
259741,15,04/07/2020,16,79.84
221520,18,28/01/2021,5,39.5
414582,16,13/11/2020,4,20
392664,18,29/12/2019,7,55.3
413663,13,11/02/2020,15,148.5
41697,13,01/07/2021,13,128.7
82525,21,28/07/2021,14,83987.4
283173,4,28/04/2021,13,765.7
492074,2,03/04/2020,17,22878.26
72564,21,19/08/2020,19,113982.9
109982,8,18/02/2021,20,4391.4
256377,13,15/12/2020,1,9.9
288458,10,30/09/2020,9,6299.1
191519,1,24/06/2019,13,59681.7
494908,2,03/05/2021,4,5383.12
220820,19,27/07/2021,13,32498.7
303093,1,27/08/2020,4,18363.6
484949,8,30/04/2020,19,4171.83
41469,4,22/03/2021,1,58.9
479228,17,13/03/2020,13,7593.3
335566,20,25/02/2021,13,1688.7
348541,2,22/11/2019,5,6728.9
349116,21,03/07/2021,13,77988.3
347911,21,09/06/2021,20,119982
247848,16,11/10/2020,17,85
465538,4,02/05/2021,8,471.2
476242,2,05/04/2021,18,24224.04
326599,3,02/11/2019,2,4099
358909,2,23/07/2021,2,2691.56
240243,6,18/09/2019,6,5399.4
184342,16,10/06/2021,7,35
229791,13,21/05/2020,20,198
372758,7,13/07/2020,18,23408.82
211449,6,12/03/2021,4,3599.6
350154,14,29/04/2021,18,2501.82
11387,18,23/02/2021,1,7.9
171148,7,19/10/2020,7,9103.43
390593,11,22/09/2019,18,898.2
103380,8,20/05/2020,15,3293.55
286679,7,03/09/2019,3,3901.47
489268,2,26/07/2019,5,6728.9
335496,18,22/04/2021,19,150.1
354858,6,23/01/2021,3,2699.7
138649,8,29/05/2020,3,658.71
250743,10,18/05/2021,2,1399.8
472779,10,10/11/2020,10,6999
34684,19,30/06/2021,14,34998.6
329126,13,12/10/2020,15,148.5
133467,13,19/03/2021,8,79.2
249552,6,02/01/2021,2,1799.8
399540,18,05/09/2020,17,134.3
51645,14,17/01/2021,9,1250.91
55671,1,20/06/2021,9,41318.1
298207,2,04/08/2020,10,13457.8
269473,1,05/10/2020,5,22954.5
99426,12,02/05/2019,5,387.5
152436,6,30/12/2020,5,4499.5
91239,8,26/01/2021,18,3952.26
51290,8,30/05/2021,5,1097.85
189396,14,19/02/2021,19,2640.81
336371,19,09/06/2021,12,29998.8
175550,12,30/10/2020,11,852.5
227128,13,25/03/2021,12,118.8
158371,21,05/09/2020,6,35994.6
115945,5,10/04/2020,2,874
473070,16,29/12/2020,15,75
146736,17,14/03/2021,14,8177.4
102022,21,24/03/2020,15,89986.5
320301,11,20/06/2021,6,299.4
277457,15,03/06/2021,9,44.91
403797,19,02/11/2020,16,39998.4
38462,14,08/04/2019,6,833.94
319397,15,28/06/2021,12,59.88
373442,18,02/06/2021,16,126.4
6591,3,06/06/2019,3,6148.5
30378,5,12/07/2021,1,437
153631,3,06/11/2018,16,32792
440932,5,04/07/2021,1,437
215121,18,06/02/2021,17,134.3
481681,5,12/06/2021,1,437
324521,12,09/09/2020,20,1550
308232,1,27/06/2021,11,50499.9
325768,7,12/10/2020,5,6502.45
471210,1,04/02/2021,20,91818
112812,3,20/08/2020,20,40990
58367,16,10/07/2021,15,75
297915,11,10/02/2021,8,399.2
378458,18,28/01/2021,20,158
442765,21,26/10/2020,13,77988.3
240161,9,23/02/2021,20,7782
452777,10,13/01/2021,11,7698.9
322274,15,24/06/2021,15,74.85
202762,7,03/05/2020,14,18206.86
19922,17,13/07/2021,11,6425.1
158384,11,19/03/2020,13,648.7
331038,18,17/12/2020,3,23.7
140827,5,07/06/2021,1,437
386455,14,16/03/2019,4,555.96
249883,10,20/03/2020,18,12598.2
263583,16,18/07/2021,15,75
454630,21,24/04/2021,6,35994.6
304503,13,27/06/2021,4,39.6
369135,4,18/07/2021,6,353.4
246777,6,29/05/2021,13,11698.7
40868,3,06/07/2021,1,2049.5
139729,7,27/05/2021,14,18206.86
473515,10,24/07/2021,17,11898.3
160194,6,15/06/2020,9,8099.1
217436,3,07/02/2021,15,30742.5
355965,9,20/06/2021,12,4669.2
28763,15,14/06/2021,11,54.89
6949,9,12/06/2020,9,3501.9
129534,5,17/04/2021,3,1311
74095,5,05/01/2019,11,4807
278487,16,16/03/2021,7,35
66141,8,29/06/2021,15,3293.55
109910,20,16/07/2019,9,1169.1
330721,5,10/11/2019,10,4370
80636,11,17/01/2021,7,349.3
155490,16,09/06/2021,20,100
238892,15,23/01/2021,17,84.83
118438,7,03/10/2020,6,7802.94
334580,6,21/07/2021,14,12598.6
420360,12,01/01/2020,7,542.5
142186,16,10/08/2020,6,30
238760,8,28/07/2021,15,3293.55
295798,14,07/10/2020,8,1111.92
406737,1,25/07/2021,9,41318.1
249263,6,10/05/2021,9,8099.1
398808,11,05/06/2019,14,698.6
353394,10,18/07/2020,17,11898.3
440759,19,17/03/2020,19,47498.1
422119,9,09/03/2021,14,5447.4
338688,19,08/05/2020,5,12499.5
259134,6,24/03/2018,9,8099.1
285179,11,16/08/2020,4,199.6
352474,1,19/03/2021,15,68863.5
78379,3,07/05/2021,15,30742.5
169544,13,21/02/2021,6,59.4
55789,2,28/01/2021,2,2691.56
171137,9,25/11/2020,6,2334.6
184508,7,02/11/2020,13,16906.37
465389,21,15/02/2021,16,95985.6
443597,9,15/06/2020,7,2723.7
88345,21,23/12/2020,13,77988.3
212003,3,30/09/2020,18,36891
219500,13,09/06/2021,18,178.2
172578,20,29/01/2021,3,389.7
55103,10,04/07/2021,15,10498.5
298820,15,21/06/2020,15,74.85
292825,16,10/09/2020,5,25
436986,7,27/07/2020,4,5201.96
114701,3,04/11/2019,10,20495
186693,20,14/07/2021,6,779.4
480615,6,29/03/2021,18,16198.2
113974,17,07/06/2021,3,1752.3
302729,4,21/01/2021,9,530.1
408319,16,20/11/2020,1,5
356814,6,24/12/2020,15,13498.5
180067,20,16/06/2021,2,259.8
382290,8,25/05/2021,8,1756.56
461558,14,16/11/2020,6,833.94
326537,8,25/04/2020,10,2195.7
396018,6,21/04/2021,10,8999
333703,14,29/07/2021,3,416.97
253128,7,08/07/2021,6,7802.94
170035,2,16/06/2021,3,4037.34
343804,8,23/07/2021,1,219.57
34055,2,06/01/2020,9,12112.02
363942,6,27/12/2019,19,17098.1
258432,9,30/01/2021,19,7392.9
203021,2,05/05/2020,5,6728.9
255652,3,14/06/2019,6,12297
255271,6,10/07/2021,18,16198.2
364388,5,26/05/2021,7,3059
24949,4,23/02/2021,11,647.9
387302,1,20/07/2020,15,68863.5
14074,16,12/01/2021,19,95
51419,17,20/03/2020,1,584.1
268492,5,20/04/2020,14,6118
331148,11,25/06/2021,10,499
36934,21,12/07/2021,16,95985.6
119263,3,01/07/2020,10,20495
336063,17,08/03/2019,10,5841
394881,18,18/09/2020,9,71.1
248765,6,14/07/2019,13,11698.7
110610,17,18/02/2020,7,4088.7
231894,16,23/12/2020,20,100
472534,7,23/07/2021,4,5201.96
190496,6,28/03/2020,20,17998
6065,12,27/06/2021,16,1240
498691,17,26/05/2021,9,5256.9
384122,8,09/01/2021,9,1976.13
149757,8,12/03/2021,16,3513.12
362761,8,21/03/2021,15,3293.55
448556,10,03/02/2021,2,1399.8
304607,19,20/06/2021,11,27498.9
151305,5,07/09/2019,6,2622
175297,19,20/05/2020,2,4999.8
81946,11,13/10/2020,2,99.8
165696,21,09/05/2021,11,65990.1
48127,5,09/04/2021,11,4807
67179,21,05/06/2021,1,5999.1
53180,13,02/05/2021,14,138.6
464010,3,11/02/2021,13,26643.5
414924,13,03/03/2019,17,168.3
209304,17,12/06/2021,2,1168.2
271786,11,04/09/2018,11,548.9
151361,17,19/03/2020,2,1168.2
440674,1,09/05/2021,20,91818
335865,15,29/08/2020,4,19.96
435028,4,11/10/2020,8,471.2
187920,15,25/08/2020,11,54.89
38574,14,29/07/2021,13,1806.87
277621,19,27/01/2021,19,47498.1
439447,17,08/01/2021,6,3504.6
349736,8,07/06/2020,1,219.57
63461,7,25/05/2020,16,20807.84
420598,16,26/12/2020,13,65
121649,19,05/07/2019,8,19999.2
330853,5,30/07/2021,4,1748
207418,18,13/03/2019,15,118.5
357410,7,13/04/2020,1,1300.49
318096,15,16/10/2020,18,89.82
157639,18,21/08/2019,20,158
327829,3,20/07/2021,12,24594
455907,18,16/08/2019,7,55.3
246740,17,20/07/2021,18,10513.8
986,4,28/09/2018,19,1119.1
65987,21,17/05/2021,3,17997.3
456143,1,01/10/2020,16,73454.4
305091,15,13/08/2019,10,49.9
72715,17,08/03/2021,6,3504.6
178767,12,15/10/2020,10,775
186376,6,21/06/2021,8,7199.2
253607,7,15/07/2021,16,20807.84
335266,8,15/01/2021,15,3293.55
433606,18,15/04/2021,2,15.8
21622,5,05/01/2021,17,7429
209619,1,23/07/2019,17,78045.3
183614,21,02/07/2021,3,17997.3
116348,17,21/06/2021,5,2920.5
463985,3,29/12/2020,17,34841.5
213511,11,04/08/2019,5,249.5
168365,14,12/03/2020,17,2362.83
9014,19,09/09/2019,20,49998
113740,17,12/09/2020,5,2920.5
70983,17,19/11/2020,16,9345.6
441337,20,29/06/2021,11,1428.9
47017,12,26/08/2020,14,1085
194364,9,14/06/2021,6,2334.6
334592,7,05/05/2020,4,5201.96
478389,1,11/06/2020,20,91818
141910,17,09/01/2020,19,11097.9
138337,8,24/02/2021,12,2634.84
459966,17,23/10/2020,18,10513.8
112189,15,28/07/2021,1,4.99
248912,6,05/07/2021,4,3599.6
457693,18,11/11/2019,14,110.6
229647,15,11/07/2021,2,9.98
283371,7,27/07/2021,6,7802.94
424896,6,11/10/2020,3,2699.7
362088,10,16/06/2021,6,4199.4
54575,4,26/07/2021,9,530.1
391029,19,13/11/2019,19,47498.1
238136,20,17/12/2020,8,1039.2
32851,12,29/10/2020,5,387.5
134565,21,27/01/2021,11,65990.1
343836,20,04/01/2021,10,1299
443458,5,20/05/2021,3,1311
484830,17,07/05/2021,14,8177.4
311268,6,11/06/2021,13,11698.7
440121,4,21/04/2020,12,706.8
259477,7,23/11/2020,8,10403.92
272661,6,18/03/2020,18,16198.2
366124,14,12/07/2021,2,277.98
72489,16,27/03/2021,19,95
22018,18,20/11/2020,2,15.8
477738,7,08/09/2020,16,20807.84
358691,14,27/11/2020,16,2223.84
180014,8,07/06/2021,9,1976.13
